"corpus","user/Poehler/compar_de_v05"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"proprietär",1506.570,262,28342,3661.212,1.431
"FSF",1356.500,119,4489,1662.917,0.227
"Hrgs",1310.270,94,65,1313.565,0.003
"Copyleft",1249.820,96,1469,1341.513,0.074
"GNU",1003.340,138,18283,1928.425,0.923
"GPL",866.430,113,16315,1579.072,0.824
"Stallman",836.020,68,2730,950.238,0.138
"OSS",663.060,66,7774,922.290,0.392
"Source",608.320,296,114911,4136.331,5.801
"Quellcode",601.220,154,51126,2152.010,2.581
"unfrei",575.260,82,19683,1145.876,0.994
"software",559.690,74,16825,1034.083,0.849
"License",551.100,61,10866,852.420,0.549
"Softwarelizenz",471.450,41,4306,572.938,0.217
"Lizenzmodell",464.690,43,5848,600.886,0.295
"LGPL",417.190,32,1471,447.171,0.074
"Libre",410.710,42,8546,586.912,0.431
"OSI",389.990,33,3665,461.145,0.185
"Ogg",352.310,30,3818,419.223,0.193
"Burmester",344.090,31,5187,433.197,0.262
"Free",315.300,158,118961,2207.907,6.006
"Bundesverwaltungsamt",314.340,28,4911,391.275,0.248
"BSD",284.200,27,6559,377.300,0.331
"Lizenz",275.230,281,262869,3926.720,13.271
"Franka",269.820,29,10016,405.249,0.506
"MPL",264.520,20,1195,279.482,0.060
"Software",262.080,1420,1480006,19843.211,74.717
"Gemeinfreiheit",258.380,19,623,265.508,0.031
"V3",255.420,28,10613,391.275,0.536
"Quelltext",254.700,51,35696,712.679,1.802
"Softwarenutzer",250.410,18,168,251.534,0.008
"Copyright",248.160,102,94042,1425.357,4.748
"free",237.360,44,31587,614.860,1.595
"proprietary",237.220,17,112,237.560,0.006
"source",235.180,26,10878,363.326,0.549
"Kleijn",223.130,16,129,223.585,0.007
"Schaaf",220.480,36,25477,503.067,1.286
"ArborMaps",210.610,15,0,209.611,0.000
"Artikelfassung",196.550,14,9,195.637,0.000
"Open",190.730,306,424374,4276.072,21.424
"Foundation",189.350,92,114788,1285.616,5.795
"Gläßer",188.970,14,804,195.637,0.041
"FLOSS",178.590,13,452,181.663,0.023
"Lizenzierung",178.010,23,16068,321.404,0.811
"Wissenstransfer",171.480,30,28733,419.223,1.451
"Initivative",167.420,12,150,167.689,0.008
"quelloffen",161.020,15,6100,209.611,0.308
"SaaSS",154.720,11,0,153.715,0.000
"Metzger",154.110,50,70126,698.705,3.540
"Perens",152.650,11,268,153.715,0.014
"Shareware",146.600,16,10538,223.585,0.532
"HS",144.430,36,49323,503.067,2.490
"modifiziert",144.100,46,68688,642.808,3.468
"Copylefts",140.490,10,35,139.741,0.002
"Lesser",135.770,12,4802,167.689,0.242
"Abruf",134.740,38,58403,531.015,2.948
"eu",132.330,29,41003,405.249,2.070
"Datenverarbeitung",128.250,30,45094,419.223,2.277
"Rechnernutzer",126.560,9,33,125.767,0.002
"Vertriebsbedingung",126.050,9,113,125.767,0.006
"Berkeley",125.510,17,17841,237.560,0.901
"Übersetzungsteam",125.110,9,263,125.767,0.013
"Grassmuck",123.480,9,527,125.767,0.027
"Lizenztext",123.160,9,580,125.767,0.029
"weiterverbreiten",120.880,13,10124,181.663,0.511
"Brügge",119.050,16,17559,223.585,0.886
"Modifikation",117.550,35,62774,489.093,3.169
"FOSS",117.540,9,1555,125.767,0.079
