"corpus","user/Poehler/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"GNU",16350.210,19,28960,37181.996,1.274
"gnu",6103.450,4,6425,7827.789,0.283
"FSF",4740.550,3,5424,5870.841,0.239
"rms",3550.880,2,2330,3913.894,0.103
"Unix",3127.050,5,48398,9784.736,2.129
"recursive",2386.770,2,14552,3913.894,0.640
"distro",2023.450,2,21246,3913.894,0.935
"GNUisance",1957.860,1,1,1956.947,0.000
"LibrePlanet",1954.160,1,44,1956.947,0.002
"Hackers",1666.740,1,3971,1956.947,0.175
"Stallman",1619.790,1,4745,1956.947,0.209
"usefully",1263.400,1,12495,1956.947,0.550
"rm",1215.370,1,13887,1956.947,0.611
"GPL",1012.300,1,21232,1956.947,0.934
"acronym",923.680,2,73604,3913.894,3.238
"Meetings",726.360,1,38538,1956.947,1.696
"syllable",622.520,1,48757,1956.947,2.145
"kernel",587.540,2,128718,3913.894,5.663
"Operating",571.480,1,55142,1956.947,2.426
"upstream",428.690,1,81080,1956.947,3.567
"continuing",414.220,1,84707,1956.947,3.727
"copyright",386.000,4,438248,7827.789,19.282
"disclaimer",274.410,1,139444,1956.947,6.135
"proprietary",212.490,1,186697,1956.947,8.214
"pronounce",184.230,1,218822,1956.947,9.628
"technically",161.470,1,252868,1956.947,11.126
"tribute",154.820,1,264714,1956.947,11.647
"computing",147.440,1,279091,1956.947,12.279
"nonprofit",138.080,1,299568,1956.947,13.180
"Linux",115.430,1,362792,1956.947,15.962
"enforce",114.450,1,366086,1956.947,16.107
"Software",114.080,1,367357,1956.947,16.163
"g",113.710,1,368626,1956.947,16.219
"violate",106.580,1,394803,1956.947,17.370
"freedom",103.480,3,1266954,5870.841,55.743
"software",94.860,7,3259616,13698.630,143.414
"package",92.240,4,1906283,7827.789,83.871
"assignment",81.730,1,521798,1956.947,22.958
"enforcement",75.880,1,563769,1956.947,24.804
"elsewhere",71.230,1,601989,1956.947,26.486
"behalf",68.990,1,622299,1956.947,27.379
"utility",68.360,1,628254,1956.947,27.641
"Chief",64.310,1,669203,1956.947,29.443
"technical",63.780,2,1372400,3913.894,60.382
"ultimate",63.200,1,681358,1956.947,29.978
"assign",60.590,1,711703,1956.947,31.313
"advocate",55.790,1,774999,1956.947,34.098
"ongoing",55.090,1,785004,1956.947,34.538
"contribute",54.150,2,1620608,3913.894,71.302
"Richard",53.700,1,805952,1956.947,35.460
"found",52.510,1,824721,1956.947,36.285
"System",52.200,1,829737,1956.947,36.506
"Free",50.020,1,866911,1956.947,38.142
"naturally",45.980,1,945103,1956.947,41.582
"unlike",44.800,1,970540,1956.947,42.701
"distribution",44.720,1,972451,1956.947,42.785
"user",44.200,5,5008822,9784.736,220.374
"goal",43.260,4,4090205,7827.789,179.958
"Foundation",41.380,1,1052602,1956.947,46.312
"historical",41.330,1,1054088,1956.947,46.377
"contribution",39.960,1,1090895,1956.947,47.996
"developer",38.190,1,1142666,1956.947,50.274
"free",36.580,7,8490261,13698.630,373.548
"gather",35.780,1,1220902,1956.947,53.716
"library",34.310,1,1274438,1956.947,56.072
"operate",29.960,2,2947528,3913.894,129.683
"ideal",28.170,1,1557004,1956.947,68.504
"primary",24.880,1,1765874,1956.947,77.694
"system",24.780,7,12541715,13698.630,551.801
"computer",24.180,2,3657126,3913.894,160.904
"transfer",23.140,1,1900360,1956.947,83.611
"conference",22.320,1,1970651,1956.947,86.703
"welcome",21.310,1,2065461,1956.947,90.875
"fully",21.150,1,2080921,1956.947,91.555
"together",19.170,3,6940477,5870.841,305.362
"launch",18.150,1,2429586,1956.947,106.895
"thousand",17.980,1,2452877,1956.947,107.920
"program",17.380,4,10214303,7827.789,449.401
"today",16.550,3,8043460,5870.841,353.890
"completely",16.180,1,2727758,1956.947,120.014
"court",15.880,1,2780079,1956.947,122.316
"thus",15.590,1,2830908,1956.947,124.552
"accept",15.510,1,2847206,1956.947,125.269
"describe",14.520,1,3043061,1956.947,133.886
"success",13.570,1,3255766,1956.947,143.245
"function",13.340,1,3313214,1956.947,145.772
"general",12.860,1,3436994,1956.947,151.218
"community",12.290,2,7218043,3913.894,317.574
"join",11.670,1,3790800,1956.947,166.785
"act",11.610,1,3809828,1956.947,167.622
"tool",11.490,1,3851072,1956.947,169.437
"sometimes",11.340,1,3901513,1956.947,171.656
"relationship",11.170,1,3961502,1956.947,174.295
"common",11.010,1,4020738,1956.947,176.901
"organization",10.360,1,4271959,1956.947,187.955
"clear",10.310,1,4295189,1956.947,188.977
"among",9.610,1,4610113,1956.947,202.832
"remain",9.260,1,4780918,1956.947,210.347
"application",9.130,1,4851980,1956.947,213.474
"name",9.070,2,9792231,3913.894,430.831
"whole",9.040,1,4901143,1956.947,215.637
"article",8.840,1,5012886,1956.947,220.553
"serve",8.800,1,5033094,1956.947,221.442
"someone",8.440,1,5252924,1956.947,231.114
"past",8.090,1,5475364,1956.947,240.901
"offer",7.120,2,12472812,3913.894,548.770
"control",7.070,1,6270457,1956.947,275.883
"hard",6.980,1,6354062,1956.947,279.561
"meet",6.840,1,6483228,1956.947,285.244
"several",6.250,1,7102398,1956.947,312.486
"idea",6.120,1,7250976,1956.947,319.023
"job",5.960,1,7447420,1956.947,327.666
"require",5.710,1,7767576,1956.947,341.752
"way",5.460,3,24403867,5870.841,1073.703
"available",5.430,1,8170950,1956.947,359.499
"many",5.370,3,24815531,5870.841,1091.815
"To",5.300,1,8378383,1956.947,368.626
"turn",5.090,1,8722532,1956.947,383.768
"pay",4.850,1,9157024,1956.947,402.884
"thing",4.750,2,18713450,3913.894,823.341
"large",4.600,1,9651888,1956.947,424.657
"design",4.510,1,9848237,1956.947,433.295
"something",4.330,1,10243289,1956.947,450.677
"support",4.280,1,10386604,1956.947,456.982
"put",4.220,1,10527493,1956.947,463.181
"game",4.170,1,10654130,1956.947,468.753
"different",4.130,1,10764033,1956.947,473.588
"between",4.110,1,10815208,1956.947,475.840
"mean",4.020,1,11035548,1956.947,485.534
"give",3.990,2,22289988,3913.894,980.698
"work",3.980,3,33468768,5870.841,1472.534
"create",3.880,1,11453466,1956.947,503.921
"same",3.580,1,12411160,1956.947,546.057
"both",3.510,1,12661002,1956.947,557.049
"keep",3.390,1,13085474,1956.947,575.725
"its",3.390,2,26260149,3913.894,1155.375
"part",3.320,1,13361384,1956.947,587.864
"time",3.070,3,43395654,5870.841,1909.290
"people",2.850,2,31193582,3913.894,1372.432
"provide",2.740,1,16231340,1956.947,714.135
"so",2.710,3,49144812,5870.841,2162.237
"while",2.620,1,16982410,1956.947,747.180
"great",2.460,1,18063222,1956.947,794.732
"if",2.390,3,55924531,5870.841,2460.526
"include",2.300,1,19326802,1956.947,850.326
"also",2.280,2,39055681,3913.894,1718.343
"other",2.260,2,39362901,3913.894,1731.860
"all",2.240,3,59690530,5870.841,2626.220
"would",2.230,2,39942888,3913.894,1757.378
"by",2.210,4,80483109,7827.789,3541.037
"help",2.130,1,20829006,1956.947,916.419
"want",2.040,1,21773216,1956.947,957.962
"could",2.000,1,22208602,1956.947,977.118
"even",2.000,1,22248898,1956.947,978.891
