"corpus","user/Poehler/gnu_en_de_terms_v04__german"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"GNU",20234.760,20,18283,38910.506,0.923
"Unix",6563.830,7,21293,13618.677,1.075
"FSF",6345.140,4,4489,7782.101,0.227
"Rechnernutzer",3885.580,2,33,3891.051,0.002
"RMS",3820.110,3,10461,5836.576,0.528
"Betriebssystemkern",3791.190,2,527,3891.051,0.027
"rekursiv",2685.360,2,8901,3891.051,0.449
"Akronym",2608.840,2,9743,3891.051,0.492
"GNUisance",1946.530,1,0,1945.525,0.000
"LibrePlanet",1946.230,1,3,1945.525,0.000
"ː",1943.090,1,35,1945.525,0.002
"ˈ",1940.060,1,66,1945.525,0.003
"Softwarenutzer",1930.150,1,168,1945.525,0.008
"gnu",1909.980,1,379,1945.525,0.019
"unixoid",1895.610,1,532,1945.525,0.027
"benutzerorientiert",1825.950,1,1308,1945.525,0.066
"libre",1774.110,1,1925,1945.525,0.097
"Stallman",1710.750,1,2730,1945.525,0.138
"nichttechnisch",1703.870,1,2821,1945.525,0.142
"zweckmäßigerweise",1699.290,1,2882,1945.525,0.145
"Verzichtserklärung",1578.520,1,4618,1945.525,0.233
"Dienstprogramm",1543.630,1,5170,1945.525,0.261
"Upstream",1507.780,1,5764,1945.525,0.291
"Hilfsprogramm",1125.190,1,14459,1945.525,0.730
"GPL",1067.380,1,16315,1945.525,0.824
"Copyright",1015.650,3,94042,5836.576,4.748
"Distribution",853.570,2,70512,3891.051,3.560
"zuwider",807.660,1,27931,1945.525,1.410
"proprietär",800.770,1,28342,1945.525,1.431
"Klarstellung",663.460,1,38307,1945.525,1.934
"ig",642.700,3,160107,5836.576,8.083
"Datenverarbeitung",594.080,1,45094,1945.525,2.277
"Chief",454.150,1,65092,1945.525,3.286
"zollen",424.610,1,70997,1945.525,3.584
"Tribut",409.380,1,74377,1945.525,3.755
"Hacker",338.490,1,94100,1945.525,4.751
"größtmöglich",313.990,1,102990,1945.525,5.199
"Foundation",286.470,1,114788,1945.525,5.795
"Free",277.850,1,118961,1945.525,6.006
"Meeting",273.450,1,121196,1945.525,6.118
"Durchsetzung",258.330,1,129445,1945.525,6.535
"Linux",258.220,2,278755,3891.051,14.073
"zuweisen",230.590,1,147400,1945.525,7.441
"Betriebssystem",195.870,2,373797,3891.051,18.871
"mitwirken",166.210,1,212172,1945.525,10.711
"fungieren",160.060,1,221083,1945.525,11.161
"funktionierend",155.420,1,228281,1945.525,11.525
"gemeinnützig",146.470,1,243431,1945.525,12.289
"zusammenarbeiten",139.560,1,256468,1945.525,12.948
"anhaltend",138.440,1,258697,1945.525,13.060
"Not",134.430,2,553700,3891.051,27.953
"Tausend",132.290,1,271648,1945.525,13.714
"gegründet",109.820,1,331278,1945.525,16.724
"bereitstellen",107.000,1,340531,1945.525,17.191
"primär",106.890,1,340915,1945.525,17.211
"Software",102.790,4,1480006,7782.101,74.717
"Freiheit",101.340,3,1121163,5836.576,56.601
"aufeinander",97.050,1,377485,1945.525,19.057
"Konferenz",86.960,1,423588,1945.525,21.385
"zusammenstellen",86.420,1,426365,1945.525,21.525
"Richard",85.620,1,430520,1945.525,21.734
"eintreten",74.290,1,499194,1945.525,25.201
"aussprechen",72.550,1,511646,1945.525,25.830
"abstimmen",71.680,1,518117,1945.525,26.157
"Bibliothek",71.530,1,519249,1945.525,26.214
"Benutzer",69.540,1,534619,1945.525,26.990
"ankündigen",66.040,1,564002,1945.525,28.473
"engagiert",65.920,1,565066,1945.525,28.527
"Paket",64.490,1,578086,1945.525,29.184
"kontrollieren",56.610,1,661320,1945.525,33.386
"erfordern",55.840,1,670629,1945.525,33.856
"akzeptieren",53.050,1,706973,1945.525,35.691
"anschließen",52.810,1,710238,1945.525,35.856
"endgültig",50.740,1,740070,1945.525,37.362
"erledigen",50.390,1,745322,1945.525,37.627
"durchsetzen",48.350,1,777616,1945.525,39.257
"beinhalten",44.760,1,841698,1945.525,42.492
"willkommen",43.020,1,876448,1945.525,44.247
"technisch",41.750,3,2749849,5836.576,138.824
"beitragen",39.790,1,949257,1945.525,47.922
"behalten",39.400,1,958686,1945.525,48.399
"Ganze",39.400,1,958841,1945.525,48.406
"übertragen",38.050,1,993576,1945.525,50.160
"System",33.670,3,3414160,5836.576,172.361
"frei",32.490,4,4725604,7782.101,238.568
"Gegensatz",32.240,1,1176108,1945.525,59.375
"Nutzer",32.160,1,1178983,1945.525,59.520
"Programm",31.100,3,3698368,5836.576,186.709
"abschließen",30.980,1,1224641,1945.525,61.825
"Vergangenheit",30.800,1,1231931,1945.525,62.193
"umfassend",28.590,1,1328666,1945.525,67.077
"Ziel",27.690,4,5548544,7782.101,280.114
"vollständig",27.020,1,1407215,1945.525,71.042
"Gericht",26.840,1,1416515,1945.525,71.512
"anbieten",26.130,2,2930144,3891.051,147.926
"Name",24.030,3,4791248,5836.576,241.882
"Beziehung",22.430,1,1699247,1945.525,85.785
"entsprechen",22.220,1,1715775,1945.525,86.620
"Organisation",21.810,1,1748026,1945.525,88.248
"Anwendung",21.490,1,1774436,1945.525,89.581
"erstellen",21.340,1,1786808,1945.525,90.206
"historisch",20.820,1,1832311,1945.525,92.503
"dagegen",18.970,1,2012812,1945.525,101.615
"beschreiben",18.290,1,2088623,1945.525,105.442
"manchmal",16.200,1,2360491,1945.525,119.168
"dienen",16.030,1,2386114,1945.525,120.461
"gleichzeitig",13.770,1,2781054,1945.525,140.399
"allgemein",12.960,1,2954460,1945.525,149.154
"Weise",12.740,1,3006082,1945.525,151.760
"jemand",12.080,1,3171862,1945.525,160.129
"sowohl",11.800,1,3246587,1945.525,163.901
"s",11.760,2,6536823,3891.051,330.006
"Artikel",11.400,1,3363443,1945.525,169.801
"Beitrag",11.050,1,3469733,1945.525,175.167
"Aufgabe",10.700,1,3583462,1945.525,180.908
"Idee",10.560,1,3631331,1945.525,183.325
"Sache",10.300,1,3722152,1945.525,187.910
"Verfügung",10.280,1,3732110,1945.525,188.413
"Stelle",10.230,1,3750534,1945.525,189.343
"unterstützen",9.990,1,3837922,1945.525,193.754
"handeln",9.560,1,4011935,1945.525,202.539
"erfolgreich",9.530,1,4027010,1945.525,203.300
"treffen",9.420,1,4071226,1945.525,205.533
"heute",9.130,3,12645822,5836.576,638.414
"ebenfalls",8.120,1,4725912,1945.525,238.584
"helfen",8.010,1,4795415,1945.525,242.093
"Art",7.500,1,5124490,1945.525,258.706
"andere",7.420,2,10374470,3891.051,523.747
"Information",6.930,1,5544890,1945.525,279.929
"damit",6.900,3,16735625,5836.576,844.885
"gemeinsam",6.520,1,5894784,1945.525,297.594
"sogar",6.090,1,6307235,1945.525,318.416
"Möglichkeit",5.690,1,6752463,1945.525,340.893
"viele",5.150,3,22445240,5836.576,1133.130
"Arbeit",5.130,1,7491377,1945.525,378.196
"Mensch",5.060,2,15226172,3891.051,768.681
"Teil",4.990,1,7707129,1945.525,389.088
"spielen",4.920,1,7817611,1945.525,394.666
"verschieden",4.750,1,8099262,1945.525,408.885
"Zeit",4.540,2,16945136,3891.051,855.462
"natürlich",3.640,1,10581178,1945.525,534.182
"zeigen",3.620,1,10624798,1945.525,536.385
"zwischen",3.550,1,10836383,1945.525,547.066
"mögen",3.320,1,11591197,1945.525,585.172
"liegen",3.170,1,12144571,1945.525,613.109
"um",3.110,4,49502922,7782.101,2499.116
"sondern",3.110,1,12394826,1945.525,625.743
"geben",3.080,3,37522959,5836.576,1894.317
"also",2.750,1,14022777,1945.525,707.929
"welche",2.670,1,14417485,1945.525,727.855
"machen",2.630,2,29268270,3891.051,1477.586
"etwas",2.590,1,14845087,1945.525,749.443
"als",2.490,5,77442007,9727.626,3909.599
"sagen",2.380,1,16190003,1945.525,817.340
"weit",2.310,1,16696342,1945.525,842.902
"zu",2.260,15,255437156,29182.879,12895.543
"von",2.190,10,175993403,19455.253,8884.888
"alle",2.110,3,54688961,5836.576,2760.929
"sehen",2.100,1,18340843,1945.525,925.923
"stehen",2.040,1,18842450,1945.525,951.246
"können",1.910,5,100633655,9727.626,5080.411
"ander",1.910,1,20207110,1945.525,1020.140
"nicht",1.840,6,125510554,11673.152,6336.301
"so",1.820,3,63602723,5836.576,3210.933
"unter",1.780,1,21702282,1945.525,1095.623
"werden",1.580,8,195005318,15564.202,9844.690
"groß",1.530,1,25176035,1945.525,1270.992
"seine",1.500,2,51435426,3891.051,2596.677
"sein",1.480,13,338184806,25291.829,17072.993
"noch",1.440,2,53377357,3891.051,2694.714
"man",1.370,2,56257286,3891.051,2840.105
"neu",1.240,1,31069260,1945.525,1568.507
"wie",1.210,2,63470248,3891.051,3204.245
"für",1.150,4,133599825,7782.101,6744.682
"sollen",1.120,1,34322287,1945.525,1732.734
"eine",1.110,11,382980090,21400.778,19334.448
"dass",1.080,2,71622675,3891.051,3615.814
"Jahr",1.070,1,36081680,1945.525,1821.555
"vor",1.050,1,36628738,1945.525,1849.173
