"corpus","user/Poehler/compar_de_v05"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"freie Software",2298.680,487,454,6805.383,1.961
"proprietäre Software",1836.160,158,47,2207.907,0.203
"unfreie Software",511.900,37,3,517.041,0.013
"angewandte Forschung",505.180,62,166,866.394,0.717
"Richard Stallman",454.750,34,11,475.119,0.048
"Marco Becker",434.200,31,0,433.197,0.000
"Franka Burmester",406.250,29,0,405.249,0.000
"Julia Schmidt--löffler",378.300,27,0,377.300,0.000
"freie Softwarelizenz",305.980,22,2,307.430,0.009
"modifizierte Version",300.040,29,82,405.249,0.354
"wesentliche Freiheit",279.360,20,1,279.482,0.004
"proprietäres Programm",263.350,19,3,265.508,0.013
"freies Betriebssystem",228.170,19,39,265.508,0.168
"freie Lizenz",216.090,20,69,279.482,0.298
"Free Software",187.090,14,12,195.637,0.052
"andere Lizenz",149.050,11,9,153.715,0.039
"kommerzielle Software",148.230,12,32,167.689,0.138
"unfreies Programm",140.180,10,1,139.741,0.004
"verschiedene Lizenz",122.120,9,9,125.767,0.039
"geänderte Version",114.410,9,25,125.767,0.108
"eingeschränktes Copyleft",112.790,8,0,111.793,0.000
"Heise Zeitschriften Verlages",112.790,8,0,111.793,0.000
"Zeitschrift Verlages",112.790,8,0,111.793,0.000
"Heise Zeitschriften",111.450,8,3,111.793,0.013
"Gnu Gpl",110.910,8,4,111.793,0.017
"Zeitschrift Verlag",110.040,8,6,111.793,0.026
"Foundation Europe",106.010,8,15,111.793,0.065
"offener Quellcode",105.510,8,16,111.793,0.069
"deutschsprachige Artikelfassung",98.820,7,0,97.819,0.000
"englischsprachige Artikelfassung",98.820,7,0,97.819,0.000
"strenges Copyleft",98.820,7,0,97.819,0.000
"Gpl V3",98.820,7,0,97.819,0.000
"Richtigkeit der Übersetzung",98.420,7,1,97.819,0.004
"Bruce Perens",97.650,7,3,97.819,0.013
"ausführbare Form",96.410,7,6,97.819,0.026
"weltweite Mission",95.570,7,8,97.819,0.035
"andere Software",86.240,9,109,125.767,0.471
"Northern Business",84.840,6,0,83.845,0.000
"Homepage der Gnu",84.840,6,0,83.845,0.000
"Homepage des Bundesverwaltungsamtes",84.840,6,0,83.845,0.000
"halbfreie Software",84.840,6,0,83.845,0.000
"Gpl V2",84.840,6,0,83.845,0.000
"eigene Datenverarbeitung",84.170,6,2,83.845,0.009
"Eric Raymond",83.430,6,4,83.845,0.017
"Entwicklung Freier Software",83.100,6,5,83.845,0.022
"Funktionsweise des Programms",83.100,6,5,83.845,0.022
"anderer Programmierer",80.340,6,13,83.845,0.056
"weite Pflicht",80.040,6,14,83.845,0.060
"Electronic Commerce",73.710,6,35,83.845,0.151
"Gemeinschaft der Nutzer",70.870,5,0,69.870,0.000
"Freiheit der Nutzer",70.590,5,1,69.870,0.004
"deutsches Urheberrecht",70.530,7,93,97.819,0.402
"Quellcode des Programms",70.310,5,2,69.870,0.009
"Frage der Freiheit",69.140,5,6,69.870,0.026
"genutzte Lizenz",69.140,5,6,69.870,0.026
"lizenzierte Software",67.950,5,10,69.870,0.043
"offene Software",67.690,5,11,69.870,0.048
"Studium der Betriebswirtschaftslehre",66.490,6,64,83.845,0.277
"öffentliches Projekt",66.050,5,17,69.870,0.073
"digitale Kluft",64.720,5,22,69.870,0.095
"exakte Kopie",64.250,5,24,69.870,0.104
"sozialer Wandel",58.390,6,105,83.845,0.454
"Rights Management",57.900,5,52,69.870,0.225
"Ieee Annals",56.900,4,0,55.896,0.000
"Bedürfnis der Datenverarbeitung",56.900,4,0,55.896,0.000
"Edgar David",56.900,4,0,55.896,0.000
"Definition Freier Software",56.900,4,0,55.896,0.000
"aufgelistete Freiheit",56.900,4,0,55.896,0.000
"fehlende Freiheit",56.900,4,0,55.896,0.000
"Hersteller Proprietärer Software",56.900,4,0,55.896,0.000
"It beratungsleistung",56.900,4,0,55.896,0.000
"vertragsbasierte Lizenz",56.900,4,0,55.896,0.000
"Lizenzstatus Eingebundener Mediendateien",56.900,4,0,55.896,0.000
"Marke der Wikimedia",56.900,4,0,55.896,0.000
"Mitglied der Freie-software-bewegung",56.900,4,0,55.896,0.000
"Sinn Fehlender Freiheiten",56.900,4,0,55.896,0.000
"Copyleft-lizenzierte Software",56.900,4,0,55.896,0.000
"kommerzielle freie Software",56.900,4,0,55.896,0.000
"Verbesserung der Öffentlichkeit",56.900,4,0,55.896,0.000
"eigene modifizierte Version",56.900,4,0,55.896,0.000
"proprietäre Version",56.900,4,0,55.896,0.000
"David Villanueva",56.900,4,0,55.896,0.000
"Of Computing",56.670,4,1,55.896,0.004
"Berlin Heidelberg",56.670,4,1,55.896,0.004
"freizügige Lizenz",56.670,4,1,55.896,0.004
"ungerechte Macht",56.670,4,1,55.896,0.004
"eingebundene Mediendatei",56.670,4,1,55.896,0.004
"ursprünglicher Entwickler",56.220,4,3,55.896,0.013
"kommerzielle Entwicklung",56.220,4,3,55.896,0.013
"Free Software",56.220,4,3,55.896,0.013
"Share Alike",55.940,4,4,55.896,0.017
"Ausführen der Software",55.940,4,4,55.896,0.017
"Linus Torvalds",55.940,4,4,55.896,0.017
"bestimmte Freiheit",55.730,4,5,55.896,0.022
"unterschiedliche Lizenz",55.730,4,5,55.896,0.022
"vorhandener Modul",55.730,4,5,55.896,0.022
"ursprüngliches Programm",55.730,4,5,55.896,0.022
"proprietärer Treiber",55.730,4,5,55.896,0.022
"Annals Of",55.730,4,5,55.896,0.022
"Digital Rights",54.600,5,69,69.870,0.298
"potenzielles Problem",54.340,4,11,55.896,0.048
"offene Quelle",54.140,4,12,55.896,0.052
"beliebiger Zweck",53.880,4,13,55.896,0.056
"gemachte Änderung",53.880,4,13,55.896,0.056
"gesamte Gemeinschaft",53.680,4,14,55.896,0.060
"staatlicher Betrieb",52.200,4,21,55.896,0.091
"freie Dokumentation",51.960,4,22,55.896,0.095
"freies Programm",51.580,4,24,55.896,0.104
"ausführbares Programm",50.980,4,27,55.896,0.117
"gemeinnützige Organisation",50.810,12,537,167.689,2.320
